站号,站名,省名,纬度,经度,海拔高度,日照时数,日期
53455,土右旗气象局,内蒙古,40.55,110.5333,998.60,6.60,2017/1/29 0:00:00
53457,达拉特旗,内蒙古,40.40,110.0333,1011,7.80,2017/1/29 0:00:00
53463,呼和浩特,内蒙古,40.85,111.5667,1153.50,8.30,2017/1/29 0:00:00
53464,土默特左旗,内蒙古,40.7167,111.1667,1042.70,8.70,2017/1/29 0:00:00
53466,呼和浩特郊区站,内蒙古,40.75,111.70,1045.40,7.90,2017/1/29 0:00:00
53467,托克托县,内蒙古,40.2667,111.1833,1016,9.40,2017/1/29 0:00:00
53469,和林格尔县,内蒙古,40.40,111.8167,1166.70,8.90,2017/1/29 0:00:00
53472,卓资,内蒙古,40.8667,112.5667,1451.70,7.50,2017/1/29 0:00:00
53475,凉城,内蒙古,40.5167,112.4667,1268.90,5.70,2017/1/29 0:00:00
53478,右玉,山西,40,112.45,1345.80,5.50,2017/1/29 0:00:00
53480,集宁,内蒙古,41.0333,113.0667,1419.30,5.70,2017/1/29 0:00:00
53481,察右前旗,内蒙古,40.80,113.2167,1316.80,7.90,2017/1/29 0:00:00
53483,兴和,内蒙古,40.8667,113.8333,1268.70,7.80,2017/1/29 0:00:00
53484,丰镇,内蒙古,40.45,113.15,1191.50,7.30,2017/1/29 0:00:00
53486,阳高,山西,40.3667,113.7667,1050.30,7.40,2017/1/29 0:00:00
53487,大同,山西,40.0833,113.4167,1052.60,8.10,2017/1/29 0:00:00
53488,大同县,山西,40.0333,113.5833,1034.30,8.10,2017/1/29 0:00:00
53490,天镇,山西,40.4333,114.05,1014.70,7,2017/1/29 0:00:00
53491,怀安,河北,40.6667,114.3833,837.70,8,2017/1/29 0:00:00
53492,阳原,河北,40.10,114.15,937.60,7.40,2017/1/29 0:00:00
53498,宣化,河北,40.5667,115.0333,629.30,5.80,2017/1/29 0:00:00
53499,万全,河北,40.7667,114.7333,755.20,8.30,2017/1/29 0:00:00
53502,吉兰太,内蒙古,39.7833,105.75,1031.80,9,2017/1/29 0:00:00
53505,孪井滩,内蒙古,37.8833,105.40,1380.70,8.30,2017/1/29 0:00:00
53512,乌海,内蒙古,39.80,106.80,1105.60,7.20,2017/1/29 0:00:00
53513,临河,内蒙古,40.7333,107.3667,1041.10,8.70,2017/1/29 0:00:00
53517,石炭井,宁夏,39.2667,106.3333,1464.50,8.30,2017/1/29 0:00:00
53518,石嘴山,宁夏,39.0333,106.35,1117.70,8.10,2017/1/29 0:00:00
53519,惠农,宁夏,39.2167,106.7667,1092.50,7.30,2017/1/29 0:00:00
53522,伊克乌素,内蒙古,40.05,107.8333,1180.30,7.60,2017/1/29 0:00:00
53529,鄂托克旗,内蒙古,39.0833,107.9667,1381.40,7.70,2017/1/29 0:00:00
53533,杭锦旗,内蒙古,39.85,108.7333,1389.50,4.20,2017/1/29 0:00:00
53543,东胜,内蒙古,39.8333,109.9833,1461.90,5.90,2017/1/29 0:00:00
53545,伊金霍洛旗,内蒙古,39.5667,109.7167,1367,5.30,2017/1/29 0:00:00
53547,乌审召,内蒙古,39.10,109.0333,1312.20,6.30,2017/1/29 0:00:00
53553,准格尔旗,内蒙古,39.8667,111.2167,1221.40,8.30,2017/1/29 0:00:00
53562,清水河县,内蒙古,39.9167,111.6667,1187.40,8.40,2017/1/29 0:00:00
53564,河曲,山西,39.3833,111.15,861.50,5.40,2017/1/29 0:00:00
53565,偏关,山西,39.4333,111.50,1051.70,0,2017/1/29 0:00:00
53567,府谷,陕西,39.0333,111.0833,981,6.50,2017/1/29 0:00:00
53573,左云,山西,40,112.70,1336.30,6.70,2017/1/29 0:00:00
53574,平鲁,山西,39.5167,112.2667,1409.40,4.20,2017/1/29 0:00:00
53575,神池,山西,39.10,112.20,1525.40,3.20,2017/1/29 0:00:00
53576,山阴,山西,39.50,112.8167,1045,7.10,2017/1/29 0:00:00
53577,宁武,山西,39,112.30,1437.40,5.40,2017/1/29 0:00:00
53578,朔州,山西,39.3667,112.4333,1114.80,2.90,2017/1/29 0:00:00
53579,代县,山西,39.0167,112.90,859.70,5,2017/1/29 0:00:00
53580,怀仁,山西,39.8167,113.10,1044.60,7,2017/1/29 0:00:00
53582,浑源,山西,39.7167,113.6667,1079.20,5.70,2017/1/29 0:00:00
53584,应县,山西,39.5667,113.1667,1000.70,5.20,2017/1/29 0:00:00
53585,繁峙,山西,39.1667,113.2667,933.90,1,2017/1/29 0:00:00
53588,五台山,山西,38.95,113.5167,2208.30,2,2017/1/29 0:00:00
53590,广灵,山西,39.75,114.2667,977.80,6.50,2017/1/29 0:00:00
53593,蔚县,河北,39.8333,114.5667,909.50,6.50,2017/1/29 0:00:00
53594,灵丘,山西,39.45,114.1833,938.70,8,2017/1/29 0:00:00
53596,顺平,河北,38.85,115.1333,52.20,6.90,2017/1/29 0:00:00
53599,涞源,河北,39.3667,114.6833,884.40,7.90,2017/1/29 0:00:00
53602,阿拉善左旗,内蒙古,38.8333,105.6667,1561.40,8.30,2017/1/29 0:00:00
53603,沙湖,宁夏,38.8333,106.3667,1095,6.30,2017/1/29 0:00:00
53610,贺兰,宁夏,38.5667,106.35,1106.20,5,2017/1/29 0:00:00
53611,平罗,宁夏,38.8833,106.55,1098.70,6.90,2017/1/29 0:00:00
53612,吴忠,宁夏,37.9833,106.1833,1128.80,8.10,2017/1/29 0:00:00
53614,银川,宁夏,38.4667,106.20,1110.90,7.50,2017/1/29 0:00:00
53615,陶乐,宁夏,38.80,106.70,1101.60,8,2017/1/29 0:00:00
53617,青铜峡,宁夏,38.0333,106.0833,1118,8.20,2017/1/29 0:00:00
53618,永宁,宁夏,38.2833,106.25,1113.70,8,2017/1/29 0:00:00
53619,灵武,宁夏,38.1167,106.30,1115.90,8.40,2017/1/29 0:00:00
53644,乌审旗,内蒙古,38.60,108.8333,1307.20,8.10,2017/1/29 0:00:00
53646,榆林,陕西,38.2667,109.7833,1157,7.50,2017/1/29 0:00:00
53651,神木,陕西,38.8167,110.4667,1098,9.20,2017/1/29 0:00:00
53658,佳县,陕西,38.0333,110.4833,894.40,3.60,2017/1/29 0:00:00
53659,临县,山西,37.9667,111,1163.30,3.10,2017/1/29 0:00:00
53660,保德,山西,39.0167,111.0833,894.40,2,2017/1/29 0:00:00
53662,岢岚,山西,38.7167,111.5833,1396.70,3.90,2017/1/29 0:00:00
53663,五寨,山西,38.9167,111.8167,1401,3.60,2017/1/29 0:00:00
53664,兴县,山西,38.4667,111.1333,1012.60,3.60,2017/1/29 0:00:00
53665,岚县,山西,38.2833,111.65,1185.10,3.20,2017/1/29 0:00:00
53666,静乐,山西,38.35,111.9333,1212.20,4.10,2017/1/29 0:00:00
53669,娄烦,山西,38.0833,111.80,1150.30,4.10,2017/1/29 0:00:00
53673,原平,山西,38.7333,112.7167,828.20,1.40,2017/1/29 0:00:00
53674,忻府区,山西,38.40,112.70,869.90,0,2017/1/29 0:00:00
53676,定襄,山西,38.50,112.9833,759.40,3.50,2017/1/29 0:00:00
53677,太原北郊,山西,37.9333,112.4833,806.50,3.90,2017/1/29 0:00:00
53678,阳曲,山西,38.0667,112.65,897.10,2.30,2017/1/29 0:00:00
53679,太原南郊,山西,37.7333,112.55,775.40,8.10,2017/1/29 0:00:00
53680,灵寿,河北,38.30,114.3833,108.90,5.10,2017/1/29 0:00:00
53681,五台县豆村,山西,38.8333,113.3667,1096.20,6.40,2017/1/29 0:00:00
53682,曲阳,河北,38.6333,114.6833,104.10,7.10,2017/1/29 0:00:00
53685,盂县,山西,38.0667,113.4167,953.20,1.30,2017/1/29 0:00:00
53687,平定,山西,37.7833,113.6333,753,7.40,2017/1/29 0:00:00
53688,行唐,河北,38.4167,114.55,100.30,6,2017/1/29 0:00:00
53689,晋州,河北,38.0167,115.0667,42.40,0,2017/1/29 0:00:00
53690,阜平,河北,38.85,114.1833,281.90,8.40,2017/1/29 0:00:00
53691,正定,河北,38.15,114.5667,71,6.20,2017/1/29 0:00:00
53692,唐县,河北,38.7333,114.9833,66.50,0,2017/1/29 0:00:00
53693,井陉,河北,38.0333,114.1333,255.50,0,2017/1/29 0:00:00
53694,平山,河北,38.2667,114.2167,131,4.10,2017/1/29 0:00:00
53695,新乐,河北,38.35,114.6833,70.80,5.10,2017/1/29 0:00:00
53696,定州,河北,38.5167,115,54.80,3,2017/1/29 0:00:00
53697,藁城,河北,38.0333,114.8333,53.50,5.20,2017/1/29 0:00:00
53698,石家庄,河北,38.0667,114.35,103.60,0,2017/1/29 0:00:00
53699,无极,河北,38.1833,114.95,45.40,0,2017/1/29 0:00:00
53704,中卫,宁夏,37.5333,105.1833,1225.70,7.60,2017/1/29 0:00:00
53705,中宁,宁夏,37.4833,105.6833,1183.40,8.40,2017/1/29 0:00:00
53707,兴仁,宁夏,36.9333,105.25,1697.90,8.40,2017/1/29 0:00:00
53723,盐池,宁夏,37.80,107.3833,1349.30,7.10,2017/1/29 0:00:00
53725,定边,陕西,37.5833,107.5833,1360.30,8.20,2017/1/29 0:00:00
53727,麻黄山,宁夏,37.1667,107.1167,1712.50,8.90,2017/1/29 0:00:00
53730,鄂托克前旗,内蒙古,38.1833,107.4833,1333.30,7.70,2017/1/29 0:00:00
53732,河南,内蒙古,37.85,108.7167,1209.90,5.60,2017/1/29 0:00:00
53735,靖边,陕西,37.6167,108.80,1336.70,6.20,2017/1/29 0:00:00
53738,吴旗,陕西,36.9167,108.1667,1331.40,9.20,2017/1/29 0:00:00
53740,横山,陕西,37.9333,109.2333,1111,6.80,2017/1/29 0:00:00
53748,子长,陕西,37.1833,109.70,1063.30,8.60,2017/1/29 0:00:00
53750,米脂,陕西,37.7667,110.1833,931,8.90,2017/1/29 0:00:00
53751,子洲,陕西,37.60,110.05,894.60,8.50,2017/1/29 0:00:00
53753,柳林,山西,37.4333,110.8833,860.10,4.50,2017/1/29 0:00:00
53754,绥德,陕西,37.50,110.2167,929.70,9.30,2017/1/29 0:00:00
53756,吴堡,陕西,37.5167,110.7167,744,7.80,2017/1/29 0:00:00
53757,清涧,陕西,37.1167,110.1167,938,8.90,2017/1/29 0:00:00
53759,石楼,山西,36.9833,110.8333,1109.10,8,2017/1/29 0:00:00
53760,方山,山西,37.8833,111.2333,1212.40,6.90,2017/1/29 0:00:00
53763,太原古交区,山西,37.9167,112.1667,1006.80,7.30,2017/1/29 0:00:00
53764,离石,山西,37.50,111.10,950.80,8.80,2017/1/29 0:00:00
53767,中阳,山西,37.3333,111.1667,1213.10,6.60,2017/1/29 0:00:00
53768,孝义,山西,37.15,111.75,773.40,4.30,2017/1/29 0:00:00
53769,汾阳,山西,37.25,111.7833,747.70,2.40,2017/1/29 0:00:00
53770,祁县,山西,37.35,112.35,768.80,7.40,2017/1/29 0:00:00
53771,文水,山西,37.4167,112.05,750,4.50,2017/1/29 0:00:00
53772,太原,山西,37.6167,112.5833,776.30,7.70,2017/1/29 0:00:00
53773,临漳,河北,36.3333,114.6167,64.60,0,2017/1/29 0:00:00
53774,清徐,山西,37.6167,112.3333,773.70,8.20,2017/1/29 0:00:00
53775,太谷,山西,37.4333,112.5333,781.90,8.50,2017/1/29 0:00:00
53776,榆次,山西,37.6833,112.7667,831.20,6.20,2017/1/29 0:00:00
53777,交城,山西,37.5333,112.15,759.30,6.50,2017/1/29 0:00:00
53778,平遥,山西,37.1667,112.2167,780.30,7.40,2017/1/29 0:00:00
53780,寿阳,山西,37.90,113.15,1066.10,5.40,2017/1/29 0:00:00
53781,沙河,河北,36.8667,114.4667,67.90,4.70,2017/1/29 0:00:00
53782,阳泉,山西,37.9333,113.6167,767.20,5.70,2017/1/29 0:00:00
53783,昔阳,山西,37.60,113.70,876.20,5.60,2017/1/29 0:00:00
53784,赵县,河北,37.75,114.7833,38.50,0,2017/1/29 0:00:00
53785,柏乡,河北,37.5167,114.6667,35,3.50,2017/1/29 0:00:00
53786,左权,山西,37.0833,113.3667,1134.60,8.10,2017/1/29 0:00:00
53788,和顺,山西,37.3333,113.5667,1265.70,7.50,2017/1/29 0:00:00
53789,栾城,河北,37.8833,114.6333,52.90,0,2017/1/29 0:00:00
53790,高邑,河北,37.60,114.6167,48.90,3.60,2017/1/29 0:00:00
53791,元氏,河北,37.7667,114.5167,66.40,0,2017/1/29 0:00:00
53792,临城,河北,37.45,114.4833,113,0,2017/1/29 0:00:00
53794,隆尧,河北,37.35,114.75,33.10,0,2017/1/29 0:00:00
53795,赞皇,河北,37.65,114.3667,137.40,0,2017/1/29 0:00:00
53796,宁晋,河北,37.6167,114.8833,30.60,0,2017/1/29 0:00:00
53797,内邱,河北,37.2833,114.5167,73.90,0,2017/1/29 0:00:00
53798,邢台,河北,37.0667,114.50,77.30,1.40,2017/1/29 0:00:00
53799,巨鹿,河北,37.2333,114.9833,25.90,5.50,2017/1/29 0:00:00
53806,海原,宁夏,36.5667,105.65,1854.20,8.80,2017/1/29 0:00:00
53810,同心,宁夏,36.9667,105.90,1339.30,8.60,2017/1/29 0:00:00
53817,固原,宁夏,36,106.2667,1753,8.50,2017/1/29 0:00:00
53821,环县,甘肃,36.5667,107.30,1255.60,8.50,2017/1/29 0:00:00
53829,庆城,甘肃,35.9833,107.90,1093.70,8.70,2017/1/29 0:00:00
53832,志丹,陕西,36.7667,108.7667,1218.80,8,2017/1/29 0:00:00
53841,安塞,陕西,36.8833,109.3167,1068.30,7.40,2017/1/29 0:00:00
53845,延安,陕西,36.5833,109.45,1180.50,9.10,2017/1/29 0:00:00
53848,甘泉,陕西,36.2667,109.35,1005.50,8.50,2017/1/29 0:00:00
53850,延川,陕西,36.8833,110.1833,804.90,8.40,2017/1/29 0:00:00
53852,永和,山西,36.7667,110.6333,916.60,8.30,2017/1/29 0:00:00
53853,隰县,山西,36.70,110.95,1052.70,6,2017/1/29 0:00:00
53854,延长,陕西,36.5833,110.0667,804.80,8.60,2017/1/29 0:00:00
53856,大宁,山西,36.4667,110.75,765.90,3.50,2017/1/29 0:00:00
53857,宜川,陕西,36.0667,110.1833,840.30,8.40,2017/1/29 0:00:00
53859,吉县,山西,36.10,110.6667,851.30,4.70,2017/1/29 0:00:00
53860,交口,山西,36.9833,111.1667,1406.70,7.30,2017/1/29 0:00:00
53861,襄汾,山西,35.8833,111.3833,463.50,7.20,2017/1/29 0:00:00
53862,灵石,山西,36.85,111.80,811.70,7.80,2017/1/29 0:00:00
53863,介休,山西,37.0333,111.9167,743.90,8.50,2017/1/29 0:00:00
53864,蒲县,山西,36.40,111.10,1030.60,5.40,2017/1/29 0:00:00
53865,汾西,山西,36.65,111.55,1011.90,4.50,2017/1/29 0:00:00
53866,洪洞,山西,36.2333,111.6667,462.80,3.90,2017/1/29 0:00:00
53868,临汾,山西,36.0667,111.50,449.50,6.40,2017/1/29 0:00:00
53869,霍州,山西,36.5833,111.70,550,6.50,2017/1/29 0:00:00
53871,武乡,山西,36.8333,112.85,964.10,8,2017/1/29 0:00:00
53872,沁县,山西,36.7667,112.6833,960.70,6.70,2017/1/29 0:00:00
53873,长子,山西,36.10,112.8667,951.10,6.90,2017/1/29 0:00:00
53874,古县,山西,36.25,111.90,648.70,6.10,2017/1/29 0:00:00
53875,沁源,山西,36.5167,112.35,1000,6.20,2017/1/29 0:00:00
53877,安泽,山西,36.1667,112.25,860.10,5.60,2017/1/29 0:00:00
53878,黎城,山西,36.5167,113.3833,767.90,0,2017/1/29 0:00:00
53879,屯留,山西,36.3167,112.8833,952.30,1.30,2017/1/29 0:00:00
53880,潞城,山西,36.3333,113.2333,947.60,4.70,2017/1/29 0:00:00
53881,韦州,宁夏,37.2833,106.4833,1382.20,8.30,2017/1/29 0:00:00
53882,长治,山西,36.05,113.0667,991.80,6.10,2017/1/29 0:00:00
53883,任县,河北,37.1333,114.70,36.50,1.30,2017/1/29 0:00:00
53884,襄垣,山西,36.5167,113.0333,877.90,7.90,2017/1/29 0:00:00
53885,壶关,山西,36.1167,113.20,1122,7.20,2017/1/29 0:00:00
53886,涉县,河北,36.5667,113.6667,470.40,1.60,2017/1/29 0:00:00
53888,平顺,山西,36.20,113.4333,1089.20,5.90,2017/1/29 0:00:00
53889,林州,河南,36.0667,113.8167,306.80,0,2017/1/29 0:00:00
53890,武安,河北,36.6667,114.10,280.10,4.90,2017/1/29 0:00:00
53891,南和,河北,37.0167,114.6833,43,5.40,2017/1/29 0:00:00
53892,邯郸,河北,36.6167,114.4667,66.60,6.10,2017/1/29 0:00:00
53893,曲周,河北,36.7667,114.95,39.60,3.70,2017/1/29 0:00:00
53894,峰峰,河北,36.40,114.20,149.30,0,2017/1/29 0:00:00
53895,永年,河北,36.7833,114.50,60.60,5.40,2017/1/29 0:00:00
53896,魏县,河北,36.35,114.95,50.10,4.40,2017/1/29 0:00:00
53897,磁县,河北,36.3833,114.3833,69.70,5,2017/1/29 0:00:00
53898,安阳,河南,36.05,114.40,62.90,0,2017/1/29 0:00:00
53899,广平,河北,36.4833,114.9667,48.50,5,2017/1/29 0:00:00
53903,西吉,宁夏,35.9667,105.7167,1916.50,7.90,2017/1/29 0:00:00
53906,静宁,甘肃,35.5167,105.7167,1656.40,7.50,2017/1/29 0:00:00
53908,通渭,甘肃,35.2167,105.2333,1768.20,8.60,2017/1/29 0:00:00
53910,六盘山,宁夏,35.6667,106.20,2841.20,8.50,2017/1/29 0:00:00
53914,隆德,宁夏,35.6167,106.1167,2078.60,8.60,2017/1/29 0:00:00
53915,崆峒,甘肃,35.55,106.6667,1346.60,8.40,2017/1/29 0:00:00
53916,泾源,宁夏,35.50,106.3167,1948.60,7,2017/1/29 0:00:00
53917,庄浪,甘肃,35.2167,106.0667,1631,7.40,2017/1/29 0:00:00
53923,西峰,甘肃,35.7333,107.6333,1421,8.80,2017/1/29 0:00:00
53924,灵台,甘肃,35.0667,107.6167,966.60,7.90,2017/1/29 0:00:00
53925,镇原,甘肃,35.6833,107.1833,1172.50,8.30,2017/1/29 0:00:00
53926,泾川,甘肃,35.35,107.35,1028.80,3.40,2017/1/29 0:00:00
53927,华亭,甘肃,35.20,106.6167,1477.60,8.10,2017/1/29 0:00:00
53928,崇信,甘肃,35.30,107.0167,1149.10,8.60,2017/1/29 0:00:00
53929,长武,陕西,35.20,107.80,1206.50,8.90,2017/1/29 0:00:00
53930,华池,甘肃,36.45,107.9833,1271,8.60,2017/1/29 0:00:00
53931,富县,陕西,36,109.3667,984,8.40,2017/1/29 0:00:00
53934,合水,甘肃,35.7833,107.9833,1274.20,8.60,2017/1/29 0:00:00
53935,正宁,甘肃,35.4833,108.40,1481.90,8.10,2017/1/29 0:00:00
53937,宁县,甘肃,35.5167,107.9167,979.40,9.30,2017/1/29 0:00:00
53938,旬邑,陕西,35.1667,108.30,1277,8.70,2017/1/29 0:00:00
53941,白水,陕西,35.1833,109.5833,804.40,9.20,2017/1/29 0:00:00
53942,洛川,陕西,35.7667,109.4167,1155.90,9.30,2017/1/29 0:00:00
53944,黄陵,陕西,35.5667,109.25,863,8.70,2017/1/29 0:00:00
53945,宜君,陕西,35.4333,109.0667,1395.20,9.30,2017/1/29 0:00:00
53946,黄龙,陕西,35.60,109.8167,1091,8.50,2017/1/29 0:00:00
53947,铜川,陕西,35.0833,109.0667,978.90,8.20,2017/1/29 0:00:00
53948,蒲城,陕西,34.95,109.5833,499.20,8.90,2017/1/29 0:00:00
53949,澄城,陕西,35.1833,109.9167,679.10,9.10,2017/1/29 0:00:00
53950,合阳,陕西,35.2333,110.15,708.80,5.90,2017/1/29 0:00:00
53953,乡宁,山西,35.9667,110.85,965.30,8.10,2017/1/29 0:00:00
53954,稷山,山西,35.6167,110.9667,433.50,7.80,2017/1/29 0:00:00
53955,韩城,陕西,35.4667,110.45,458.10,8.10,2017/1/29 0:00:00
53956,万荣,山西,35.40,110.8333,588.40,7.80,2017/1/29 0:00:00
53957,河津,山西,35.6167,110.7167,459.20,8,2017/1/29 0:00:00
53958,临猗,山西,35.1333,110.7833,387.90,6.50,2017/1/29 0:00:00
53959,运城,山西,35.05,111.05,365,7.30,2017/1/29 0:00:00
53961,曲沃,山西,35.65,111.4833,472.60,7.10,2017/1/29 0:00:00
53962,翼城,山西,35.7333,111.70,584.50,7.50,2017/1/29 0:00:00
53963,侯马,山西,35.65,111.3667,433.80,7.30,2017/1/29 0:00:00
53964,新绛,山西,35.6167,111.2167,430.80,7.50,2017/1/29 0:00:00
53965,绛县,山西,35.5167,111.5667,761,5.90,2017/1/29 0:00:00
53966,浮山,山西,35.9833,111.8333,817.20,7.10,2017/1/29 0:00:00
53967,闻喜,山西,35.3333,111.20,468.30,7.10,2017/1/29 0:00:00
53968,垣曲,山西,35.2833,111.6667,505,6.50,2017/1/29 0:00:00
53970,沁水,山西,35.70,112.20,887.30,7.40,2017/1/29 0:00:00
53972,沁阳,河南,35.1167,112.9167,119.60,0,2017/1/29 0:00:00
53973,高平,山西,35.7667,112.95,837.30,7.40,2017/1/29 0:00:00
53974,淇县,河南,35.6167,114.1833,72.30,0,2017/1/29 0:00:00
53975,阳城,山西,35.4833,112.40,659.50,5.80,2017/1/29 0:00:00
53976,晋城,山西,35.50,112.8667,752.60,3.40,2017/1/29 0:00:00
53978,济源,河南,35.0833,112.6333,140.10,0,2017/1/29 0:00:00
53979,博爱,河南,35.15,113.0833,120,0,2017/1/29 0:00:00
53980,肥乡,河北,36.55,114.80,50.20,0,2017/1/29 0:00:00
53981,陵川,山西,35.7833,113.2667,1311.60,6.50,2017/1/29 0:00:00
53982,焦作,河南,35.2333,113.2667,112,0,2017/1/29 0:00:00
53983,封丘,河南,35.0333,114.4167,69.60,0,2017/1/29 0:00:00
53984,修武,河南,35.2333,113.4667,82.70,3.10,2017/1/29 0:00:00
53985,辉县,河南,35.50,113.8167,140.70,0,2017/1/29 0:00:00
53986,新乡,河南,35.3167,113.8833,73.20,0,2017/1/29 0:00:00
53987,武陟,河南,35.10,113.4167,91,0,2017/1/29 0:00:00
53988,获嘉,河南,35.2667,113.6667,77.60,0,2017/1/29 0:00:00
53989,原阳,河南,35.05,113.95,76.60,0,2017/1/29 0:00:00
53991,汤阴,河南,35.9167,114.3333,93,0,2017/1/29 0:00:00
53992,浚县,河南,35.65,114.5167,58.20,0,2017/1/29 0:00:00
53993,内黄,河南,35.9333,114.9167,51.60,1.20,2017/1/29 0:00:00
53994,卫辉,河南,35.3833,114.0667,70,0,2017/1/29 0:00:00
53995,滑县,河南,35.55,114.50,62.50,0,2017/1/29 0:00:00
53996,成安,河北,36.45,114.65,57.90,2.50,2017/1/29 0:00:00
53997,延津,河南,35.15,114.1833,71.10,0,2017/1/29 0:00:00
53998,长垣,河南,35.20,114.65,61.60,0,2017/1/29 0:00:00
54012,西乌珠穆沁,内蒙古,44.5833,117.60,1001.70,6.80,2017/1/29 0:00:00
54024,富河,内蒙古,44.45,119.30,710,8.30,2017/1/29 0:00:00
54026,扎鲁特,内蒙古,44.5667,120.90,265,8.20,2017/1/29 0:00:00
54027,巴林左旗,内蒙古,43.9833,119.40,486.20,7.90,2017/1/29 0:00:00
54031,高力板,内蒙古,44.90,121.8167,198.30,7.80,2017/1/29 0:00:00
54039,舍伯吐,内蒙古,44.0333,122.0167,181.60,7.80,2017/1/29 0:00:00
54041,通榆,吉林,44.80,123.0667,150,7.30,2017/1/29 0:00:00
54047,科左中旗,内蒙古,44.1333,123.2833,145.80,7.20,2017/1/29 0:00:00
54049,长岭,吉林,44.25,123.9667,188.90,6.50,2017/1/29 0:00:00
54063,扶余,吉林,44.9667,126,196.80,5.60,2017/1/29 0:00:00
54064,农安,吉林,44.3833,125.15,170.20,3.60,2017/1/29 0:00:00
54065,德惠,吉林,44.5333,125.65,169.10,1.80,2017/1/29 0:00:00
54069,九台,吉林,44.1667,125.80,174.50,0,2017/1/29 0:00:00
54072,榆树,吉林,44.85,126.5167,196.50,5.60,2017/1/29 0:00:00
54076,舒兰,吉林,44.3833,126.9333,268.10,0,2017/1/29 0:00:00
54080,五常,黑龙江,44.90,127.15,194.60,0,2017/1/29 0:00:00
54092,海林,黑龙江,44.60,129.40,292.10,0,2017/1/29 0:00:00
54093,穆棱,黑龙江,44.9333,130.55,266.30,0,2017/1/29 0:00:00
54094,牡丹江,黑龙江,44.5667,129.60,241.40,0,2017/1/29 0:00:00
54096,绥芬河,黑龙江,44.3833,131.1667,567.80,0,2017/1/29 0:00:00
54098,宁安,黑龙江,44.3333,129.4667,267.90,0,2017/1/29 0:00:00
54099,东宁,黑龙江,44.0833,131.1333,148.60,0,2017/1/29 0:00:00
54102,锡林浩特,内蒙古,43.95,116.1167,1003,7.50,2017/1/29 0:00:00
54113,巴林右旗,内蒙古,43.5333,118.65,621.40,8.50,2017/1/29 0:00:00
54115,林西县,内蒙古,43.6333,118.0333,825,8.50,2017/1/29 0:00:00
54117,克什克腾旗,内蒙古,43.25,117.5333,1003.30,8.60,2017/1/29 0:00:00
54122,阿鲁科尔沁旗,内蒙古,43.8833,120.05,374.90,8.70,2017/1/29 0:00:00
54132,青龙山,内蒙古,42.40,121.0667,400,8.10,2017/1/29 0:00:00
54134,开鲁,内蒙古,43.60,121.2833,241,7.80,2017/1/29 0:00:00
54135,通辽,内蒙古,43.60,122.2667,178.70,6.90,2017/1/29 0:00:00
54142,双辽,吉林,43.50,123.5333,114.90,7.40,2017/1/29 0:00:00
54154,梨树,吉林,43.35,124.30,160.20,4.80,2017/1/29 0:00:00
54155,孤家子,吉林,43.6667,124.2333,144.20,5,2017/1/29 0:00:00
54156,公主岭,吉林,43.5167,124.80,200.40,3.50,2017/1/29 0:00:00
54157,四平,吉林,43.1667,124.3333,165.70,2.30,2017/1/29 0:00:00
54161,长春,吉林,43.90,125.2167,236.80,2.60,2017/1/29 0:00:00
54164,伊通,吉林,43.35,125.2833,248.10,0,2017/1/29 0:00:00
54165,双阳,吉林,43.55,125.6333,219.50,3.10,2017/1/29 0:00:00
54169,烟筒山,吉林,43.30,126.0167,271.60,0,2017/1/29 0:00:00
54171,永吉,吉林,43.70,126.5167,229.50,0,2017/1/29 0:00:00
54172,吉林城郊,吉林,43.8667,126.5333,290.30,0.80,2017/1/29 0:00:00
54181,蛟河,吉林,43.70,127.3333,295,0,2017/1/29 0:00:00
54186,敦化,吉林,43.3667,128.20,524.90,0,2017/1/29 0:00:00
54187,安图,吉林,43.1167,128.9167,366.60,0,2017/1/29 0:00:00
54192,罗子沟,吉林,43.70,130.2667,384.60,0,2017/1/29 0:00:00
54195,汪清,吉林,43.30,129.7833,244.80,0,2017/1/29 0:00:00
54204,正镶白旗,内蒙古,42.30,115,1346.30,7.50,2017/1/29 0:00:00
54205,正蓝旗,内蒙古,42.2333,116,1315.50,7.60,2017/1/29 0:00:00
54208,多伦县,内蒙古,42.1833,116.4667,1245.40,7.90,2017/1/29 0:00:00
54213,翁牛特旗,内蒙古,42.9333,119.0167,634.30,7.30,2017/1/29 0:00:00
54214,岗子,内蒙古,42.5833,118.4167,960,7.70,2017/1/29 0:00:00
54218,赤峰,内蒙古,42.30,118.8333,668.60,2.50,2017/1/29 0:00:00
54223,奈曼,内蒙古,42.85,120.65,362.90,5.70,2017/1/29 0:00:00
54225,敖汉旗,内蒙古,42.2833,119.9167,588.20,6.30,2017/1/29 0:00:00
54226,宝国吐,内蒙古,42.3333,120.70,400.50,8.50,2017/1/29 0:00:00
54231,科左后旗,内蒙古,42.9667,122.35,248.10,3.70,2017/1/29 0:00:00
54234,库伦,内蒙古,42.7333,121.75,297.80,8,2017/1/29 0:00:00
54236,彰武,辽宁,42.3833,122.55,79.40,5.10,2017/1/29 0:00:00
54237,阜新,辽宁,42.0667,121.75,167.80,8.30,2017/1/29 0:00:00
54243,昌图,辽宁,42.7833,124.1167,165.10,3,2017/1/29 0:00:00
54244,康平,辽宁,42.75,123.3333,118.60,3.60,2017/1/29 0:00:00
